step,congestion_detected,congestion_event_count,congestion_events,controller_threshold,cwnd,host_available_bandwidth,host_packets_dropped,host_queue_occupancy,host_queue_occupancy_ratio,local_app_load,local_bandwidth_used,local_is_throttled,network_loss_rate,network_packets_dropped,network_queue_length,nic_occupancy,nic_occupancy_ratio,nic_packets_dropped,packets_acked,packets_inflight,packets_sent,rtt
0,0,0,0,126.58365607907473,82,23.41634392092527,0,0,0.0,0.5316731215814946,53.16731215814946,0,0.01,0,25,0,0.0,0,0,25,25,10
1,0,0,0,127.79866253220833,84,22.20133746779167,0,0,0.0,0.5559732506441666,55.59732506441666,0,0.01,0,50,0,0.0,0,0,50,50,10
2,0,0,0,129.1636801232298,86,20.836319876770197,0,0,0.0,0.583273602464596,58.327360246459605,0,0.01,0,75,0,0.0,0,0,75,75,10
3,0,0,0,130.4976065661191,88,19.502393433880904,0,0,0.0,0.6099521313223819,60.99521313223819,0,0.01,0,86,0,0.0,0,0,86,86,10
4,0,0,0,132.1394892946175,90,17.8605107053825,0,0,0.0,0.64278978589235,64.27897858923501,0,0.01,0,88,0,0.0,0,0,88,88,10
5,0,0,0,133.74550898707125,92,16.254491012928753,0,8,0.04,0.674910179741425,67.4910179741425,0,0.01,1,65,0,0.0,0,16,74,90,10
6,0,0,0,135.38334805908755,94,14.616651940912462,0,19,0.095,0.7076669611817508,70.76669611817508,0,0.01,1,58,0,0.0,0,30,78,108,10
7,0,0,0,137.02082413785774,96,12.97917586214225,0,32,0.16,0.740416482757155,74.0416482757155,0,0.01,1,49,0,0.0,0,42,82,124,10
8,0,0,0,138.75951786801923,98,11.240482131980766,0,32,0.16,0.7751903573603847,77.51903573603846,0,0.01,1,52,0,0.0,0,53,85,138,10
9,0,0,0,140.18848943992316,100,9.811510560076847,0,25,0.125,0.8037697887984631,80.3769788798463,0,0.01,1,63,0,0.0,0,62,89,151,10
10,0,0,0,141.97113646649132,102,8.028863533508678,0,19,0.095,0.8394227293298264,83.94227293298265,0,0.01,1,72,0,0.0,0,70,92,162,10
11,0,0,0,143.60356955810744,104,6.396430441892564,0,31,0.155,0.8720713911621487,87.20713911621488,0,0.01,1,64,0,0.0,0,76,96,172,10
12,0,0,0,145.0,106,4.999999999999999,0,42,0.21,0.9,90.0,0,0.01,2,56,0,0.0,0,80,100,180,10
13,0,0,0,145.0,108,4.999999999999999,0,52,0.26,0.9,90.0,0,0.01,2,48,0,0.0,0,84,102,186,10
14,0,0,0,145.0,110,4.999999999999999,0,61,0.305,0.9,90.0,0,0.01,2,41,0,0.0,0,88,104,192,10
15,0,0,0,145.0,112,4.999999999999999,0,68,0.34,0.9,90.0,0,0.01,2,36,0,0.0,0,92,106,198,10
16,0,0,0,145.0,114,4.999999999999999,0,74,0.37,0.9,90.0,0,0.01,2,32,0,0.0,0,96,108,204,10
17,0,0,0,145.0,116,4.999999999999999,0,78,0.39,0.9,90.0,0,0.01,2,30,0,0.0,0,100,110,210,10
18,0,0,0,145.0,118,4.999999999999999,0,80,0.4,0.9,90.0,0,0.01,2,30,0,0.0,0,104,112,216,10
